Phrasal Verb,Meaning,Example
abide by,Accept or follow a decision or rule.,We have to ABIDE BY what the court
account for,To explain.,They had to ACCOUNT FOR all the
ache for,Want something or someone a lot.,My partner's been away for a fortnight- I
act on,To take action because of something like,information received.The police were ACTING ON a tip from
act on,Affect.,The medicine only ACTS ON infected
act out,Perform something with actions and,gestures..They ACTED OUT the story on stage.
act out,Express an emotion in your behaviour.,Their anger is ACTED OUT in their
act up,Behave badly or strangely.,My computer's ACTING UP; I think I
act upon,To take action because of something like,information received.The police were ACTING UPON a tip-
act upon,Affect.,The enzyme ACTS UPON certain
add on,Include in a calculation.,You have to ADD the V AT ON to the
add up,To make a mathematical total.,We ADDED UP the bill to check it was
add up,Be a satisfactory explanantion for,"something.She explained why the work wasn't ready,"
add up to,Have a certain result.,Trains delays are getting worse and with
add up to,Come to a certain amount or figure.,The total costs ADD UP TO several
agree with,Affect- usually used in the negative to,show that something has had a negative
aim at,To target.,The magazine is AIMED AT teenagers.
aim at,Intend to achieve.,They're AIMING AT reducing costs by
allow for,Include something in a plan or calculation.,You should ALLOW FOR delays when
allow of,"Make possible, permit.",The rules don't ALLOW OF any
angle for,"Try to get something indirectly, by hinting","or suggesting.He's been ANGLING FOR an invitation,"
answer for,Be held responsible for a problem.,The government should be made to
answer for,Speak on behalf of someone or from,knowing them.I can ANSWER FOR my partner because
argue down,"Beat someone in a debate, discussion or",argument.The teacher tried to ARGUE the girl
argue down,Persuade someone to drop the price of,something they're selling.She ARGUED him DOWN ten percent.
argue down,Try to persuade people not to accept a,"proposition, motion, etc.They tried to ARGUE DOWN the"
argue out,Argue about a problem to find a solution.,"If we can't ARGUE our differences OUT,"
ask about,"Ask how someone is doing, especially",professionally and in terms of health.He ASKED ABOUT my father.
ask after,"Enquire about someone's health, how life",is going.Jenny rang earlier and ASKED AFTER
ask around,Ask a number of people for information of,"help.I have no idea, but I'll ASK AROUND at"
ask around,Invite someone.,We ASKED them AROUND for dinner.
ask for,To provoke a negative reaction.,You're ASKING FOR trouble.
ask for,Request to have or be given.,I ASKED FOR the menu.
ask in,To invite somebody into your house. ',Jon's at the door.' 'ASK him IN.'
ask out,To invite someone for a date.,He wanted to ASK her OUT but was too
ask over,Invite.,They have ASKED us OVER for drinks
ask round,Invite someone.,We ASKED John ROUND for diner.
auction off,Sell something in an auction.,They AUCTIONED OFF their property
back away,Retreat or go backwards.,The crowd BACKED AWAY when the
back down,Retract or withdraw your position or,proposal in an argument.She refused to BACK DOWN and was
back into,Enter a parking area in reverse gear.,He prefers to BACK his car INTO the
back off,Retreat.,The police told the protesters to BACK
back out,Fail to keep an arrangement or promise.,He BACKED OUT two days before the
back out of,"Fail to keep an agreement, arrangement.",She BACKED OUT OF the agreement at
back out of,Exit a parking area in reverse gear.,She BACKED the Rolls OUT OF its
back up,Make a copy of computer data.,You should always BACK UP important
back up,Support.,The rest of the staff BACKED her UP
back up,Drive a vehicle backwards.,Tom BACKED UP without looking and
bag out,Criticise.,Don't bag out BAG OUT Australian
bail out,"Save, rescue.",The government had to BAIL OUT the
bail out,Remove water from something that is,flooded.The boat was leaking so they had to
bail out,Jump out of a plane because it is going to,crash.The pilot BAILED OUT when he saw
bail out of,Pay a bond to release someone from jail.,I must BAIL my drunken brother OUT
bail out on,Stop supporting someone when they are in,trouble.Everybody BAILED OUT ON him when
bail up,Talk to someone and delay them.,I was late because he BAILED me UP on
bail up,Rob someone at gunpoint.,He was BAILED UP by a couple of
ball up,Confuse or make things complicated.,The new project has BALLED me UP- I
ball up,Roll or form into a round shape.,He BALLED UP his napkin when he had
balls up,"Spoil, ruin.",He BALLSED the presentation UP.
bang about,Move in a place making a lot of noise.,He's BANGING ABOUT in the kitchen.
bang on,Talk at great length.,He BANGED ON for half an hour but no
bang on,,
bang out,Play a musical instrument loudly.,She BANGED the tune OUT on the
bang up,Put someone in prison.,The judge BANGED him UP for eight
bang up,Damage badly.,He BANGED his car UP last night.
bank on,Count or rely on.,I'm BANKING ON your help; I can't do
bargain for,Expect something to happen (usually,I hadn't BARGAINED FOR so many
bargain on,Expect something to happen (usually,negative).I hadn't BARGAINED ON him coming.
barge in,Enter a place and interrupt.,He keeps BARGING IN and asking
barge into,Enter a place and interrupt people rudely.,They BARGED INTO my office without
bash about,Mistreat physically.,If you BASH your monitor ABOUT like
bash in,"Break, damage or injure by hitting.",The burglars BASHED the door IN to
bash out,Write something quickly without much,preparation.I BASHED the essay OUT the night
bash up,"Break, damage or hurt by hitting.",They BASHED him UP in the fight in the
bawl out,"Scold, shout at someone.",She BAWLED me OUT for coming home
bawl out,Scold.,She BAWLED Raj OUT for getting there
bawl out,Sing or shout unpleasantly loudly.,He BAWLED OUT our names at the top
be after,Try to find or get.,The police ARE AFTER him because of
be along,Arrive.,The next bus should BE ALONG in the
be away,"Be elsewhere; on holiday, etc..",She's AWAY on business for three weeks.
be cut,out,
be cut up,Be upset.,She was very CUT UP about coming
be down,Be depressed.,He's BEEN DOWN since his partner left
be down,Be reduced or less.,The firm's profits ARE DOWN by ten
be down on,Have negative feelings toward someone.,"After the argument, James is DOWN ON"
be down,,
be fed up,"Be bored, upset or sick of something.",I AM FED UP of his complaints.
be in,Be at home or at work.,They ARE never IN; I always get their
be in,"Be submitted, arrive.",The application form must BE IN by 3pm
be in on,Be involved in.,Susan was the only one who WASN'T IN
be not on,Be unacceptable.,The way he's behaving IS just NOT ON.
be off,Be bad (of food).,This yoghurt must BE OFF; it smells
be off,"Depart, leave.",I'm OFF home; it's five o'clock.
be on,Be functioning (of machines).,The computer IS ON.
be on,Take place.,The show IS ON for the next three
be on,"Take medication or drugs, especially when",they affect the person badly.He IS ON anti-depressants and has
be on,"Be at the top of one’s game, performing",very well.He IS really ON right now- three goals in
be on about,"Mean, try to say.",I couldn't understand what he WAS ON
be onto,"Pursue, be aware of someone's true nature.",He's being very careful because he thinks
be out,Be absent from a place.,She IS OUT on a visit for the day.
be out of,Have no more left.,We're OUT OF coffee so I'll have to go
be out to,Attempt.,She IS OUT TO get him sacked because
be snowed,,
be taken,,
be taken,,
be up,Be out of bed.,She's not UP yet.
be up,Have increased or risen.,The company's profits ARE UP by fifteen
be up,When the time for something finishes or,"expires.Time's UP, please finish your drinks and"
be up for,Be enthusiastic about an upcoming event.,ARE you UP FOR the climb of Mt.
be up to,Be good enough.,He's not UP TO the job; get someone
be up to,Doing something naughty or wrong.,What are those kids UP TO?
bear down,,
bear on,"Influence, affect.",The judge's character may well BEAR
bear out,Confirm that something is correct.,Statistics BEAR OUT the government's
bear up,Resist pressure.,How are you BEARING UP under the
bear up,,
bear with,Be patient.,Please BEAR WITH me a moment while
beat down,Strong sunshine.,The sun WAS really BEATING DOWN
beat down,Get someone to lower the price of,something.I managed to BEAT him DOWN to fifty
beat out,Narrowly win in competition.,The marathon runner barely BEAT OUT
beat up,Attack violently.,The mugger BEAT him UP and stole his
bed down,Sleep somewhere less comfortable than,normal.We had to BED DOWN on the floor for
bed down,Become established or successful over,time.The new government has found it hard to
bed out,Move a plant outside.,I BEDDED the plants OUT when the
beef up,Make something stronger or more solid.,The company BEEFED UP their case
belong to,Be a member.,He BELONGS TO a secret society.
belong to,"Be connected to a time, place, belief,","thing, etc.Their ideas BELONG TO the nineteenth"
belong with,Be in the correct or appropriate location,with other items.Does this disc BELONG WITH those on
belt out,Sing something loudly.,They BELTED OUT the national anthems
belt up,Be quiet.,She told the students to BELT UP because
belt up,Fasten your seatbelt.,I told the kids to BELT UP before I
bend down,Lower the top half of your body.,I BENT DOWN to pick it up off the floor.
bend over,Lower the top part of your body.,I BENT OVER to do my shoes up.
bend over,,
big up,Exaggerate the importance.,He BIGS himself UP all the time.
big up,Increase the size of muscles by exercise.,They work out a lot to BIG themselves
bitch up,Spoil or ruin something.,I BITCHED UP the interview.
black out,Fall unconscious.,He BLACKED OUT and collapsed on the
black out,Lose light.,Everything BLACKED OUT when the
blank out,Censor text so that words cannot be read.,The email addresses were BLANKED
blank out,Have a temporary memory failure.,I was so nervous in the interview that I
blare out,A loud sound or music.,The music was BLARING OUT and I
blast off,Leave the ground- spaceship or rocket.,The space shuttle BLASTED OFF on
blaze away,Fire a gun repeatedly.,The shooters BLAZED AWAY at the
bleed out,Cause sufficient blood loss to result in,death.They BLED OUT their calves.
bliss out,Be extremely relaxed and happy.,I BLISSED OUT on the beach all week.
block in,Park a car and obstruct another car.,I couldn't drive here this morning because
block in,Shade or fill in.,He BLOCKED IN the events in his
block off,Obstruct an exit to prevent people from,leaving.The police BLOCKED OFF the road
block out,Stop light from entering or leaving.,The trees BLOCK the sun OUT most of
block out,Try not think about or feel something,because it is upsetting or painful.It was so unpleasant that I try to BLOCK
block up,Fill a space so that nothing can pass.,The pipe's BLOCKED UP and no water
blow away,Kill.,He grabbed a gun and BLEW the police
blow away,Beat rivals or competitors by a large,margin.Their new product has BLOWN all the
blow away,Impress greatly.,Her first novel BLEW me AWAY .
blow away,When the wind moves something from a,place.The flag BLEW AWAY in the storm; we'll
blow down,When the wind forces something to fall.,A tree was BLOWN DOWN in the storm.
blow in,"Arrive, sometimes suddenly or",unexpectedly.He BLEW IN from Toronto early this
blow off,Not keep an appointment.,"We were going to meet last night, but she"
blow off,"Ignore, not do something.",I BLEW the homework OFF and did
blow off,Expel gas from the anus.,He BLEW OFF in front of everybody.
blow out,"Extinguish candles, matches, etc..",She BLEW the candles OUT on her
blow out,Defeat decisively.,The Broncos BLEW OUT the Raiders 55-
blow over,When a scandal gets forgotten.,The scandal BLEW OVER within a
blow up,Explode.,The bomb BLEW UP without any
blow up,Inflate.,"The pressure was low, so I BLEW the"
blow up,"Enlarge (e.g., photograph)..",BLOW UP that photo so we can see his
blow up,The beginning of a storm.,A storm BLEW UP while we were out
blow up,"Lose your temper, become angry.",They BLEW UP when they heard what I
blurt out,"Say something quickly without thinking,",especially if you shouldn't.I was really angry when he BLURTED
board out,Arrange for pets to stay somewhere while,you're away.We BOARD our dog OUT with friends
board up,"Cover windows or doors with wood,","metal, etc..They BOARDED UP all the windows to"
bog down,Slow make progress.,Yasini got BOGGED DOWN in his
bog in,Eat enthusiastically.,We were starving and BOGGED IN when
bog into,Eat something enthusiastically.,They BOGGED INTO the lunch.
bog off,!,Get lost.He lost his temper and told her to BOG
boil down,"Simplify, reduce to the essentials.","The report's so long, I BOILED it DOWN"
boil down,,
boil over,When a hot liquid spills out of a container.,I left the milk on the cooker and it
boil over,When people lose their tempers and things,get nasty.The tension had been building up and it
boil up,Feel a negative emotion strongly.,The anger BOILED UP in me when I saw
boil up,Cook or heat something to boiling point.,I BOILED UP some water for a cup of
bolster up,"Give support, reinforce, strengthen.",We were all scared but she BOLSTERED
bone up,Study hard for a reason.,I will have to BONE UP to get a good
bone up on,Study hard for a goal or reason.,I need to BONE UP ON my French
book in,Make a reservation in advance.,I'll BOOK us IN at the Intercontinental.
book in,Check in at a hotel.,WE took a taxi from the airport to the
book into,Make a reservation in advance.,I've BOOKED us INTO a hotel in the
